article_id,nb_auteurs,country
1,8.0,Italy
2,8.0,United Arab Emirates
3,9.0,USA
4,18.0,USA
5,15.0,USA
6,14.0,USA
7,20.0,USA
8,13.0,Greece
9,12.0,Malaysia
10,7.0,Spain
11,6.0,Indonesia
12,14.0,Indonesia
13,18.0,Spain
14,15.0,Malaysia
15,12.0,China
16,8.0,Japan
17,11.0,Germany
18,15.0,Japan
19,12.0,China
20,7.0,Germany
21,16.0,Japan
22,17.0,India
23,6.0,India
24,11.0,Iraq
25,5.0,USA
26,8.0,India
27,7.0,Germany
28,8.0,Germany
29,9.0,China
30,8.0,Italy
31,44.0,Italy
32,11.0,Italy
33,9.0,Italy
34,12.0,Italy
35,11.0,Italy
36,12.0,Italy
37,10.0,Italy
38,15.0,Italy
39,12.0,Italy
40,10.0,China
41,13.0,USA
42,11.0,Italy
43,13.0,Italy
44,14.0,Pakistan
45,13.0,Pakistan
46,8.0,Japan
47,10.0,USA
48,12.0,Malaysia
49,14.0,Malaysia
50,13.0,Malaysia
51,16.0,USA
52,17.0,The Netherlands
53,11.0,Germany
54,13.0,Pakistan
55,9.0,Inconnu
56,20.0,Japan
57,17.0,USA
58,18.0,China
59,10.0,Germany
60,10.0,The Netherlands
61,14.0,Germany
62,16.0,Japan
63,11.0,Japan
64,10.0,Japan
65,10.0,Saudi Arabia
66,8.0,China
67,12.0,China
68,14.0,USA
69,13.0,Pakistan
70,10.0,China
71,12.0,China
72,15.0,Pakistan
73,9.0,China
74,12.0,Saudi Arabia
75,15.0,Taiwan
76,10.0,Brazil
77,7.0,China
78,13.0,China
79,10.0,China
80,9.0,China
81,11.0,Germany
82,11.0,China
83,13.0,China
84,15.0,China
85,12.0,China
86,11.0,Germany
87,18.0,Malaysia
88,13.0,Germany
89,16.0,China
90,14.0,Germany
91,14.0,Germany
92,9.0,Malaysia
93,10.0,Canada
94,12.0,China
95,9.0,USA
96,13.0,China
97,12.0,Malaysia
98,14.0,China
99,20.0,China
100,10.0,China
101,10.0,China
102,11.0,China
103,20.0,China
104,13.0,China
105,9.0,China
106,10.0,China
107,12.0,China
108,12.0,China
109,12.0,China
110,19.0,China
111,8.0,China
112,7.0,China
113,13.0,China
114,13.0,China
115,10.0,China
116,16.0,China
117,13.0,China
118,8.0,Spain
119,9.0,USA
120,12.0,China
121,12.0,USA
122,13.0,USA
123,9.0,China
124,11.0,China
125,11.0,China
126,14.0,China
127,13.0,China
128,12.0,USA
129,11.0,USA
130,15.0,USA
131,16.0,China
132,9.0,China
133,15.0,China
134,15.0,China
135,13.0,China
136,23.0,USA
137,16.0,China
138,10.0,China
139,14.0,China
140,12.0,China
141,13.0,China
142,11.0,China
143,7.0,China
144,16.0,USA
145,12.0,China
146,11.0,USA
147,15.0,China
148,9.0,China
149,15.0,China
150,15.0,USA
151,14.0,USA
152,14.0,China
153,10.0,Morocco
154,15.0,China
155,14.0,USA
156,11.0,USA
157,12.0,Vietnam
158,15.0,China
159,12.0,China
160,13.0,China
161,16.0,China
162,18.0,China
163,15.0,China
164,13.0,USA
165,11.0,India
166,14.0,India
167,11.0,China
168,16.0,India
169,20.0,India
170,15.0,Egypt
171,17.0,China
172,22.0,India
173,8.0,India
174,18.0,USA
175,10.0,India
176,13.0,India
177,11.0,USA
178,10.0,Spain
179,17.0,USA
180,17.0,Indonesia
181,20.0,India
182,11.0,China
183,15.0,India
184,15.0,China
185,12.0,China
186,10.0,China
187,13.0,India
188,11.0,China
189,8.0,China
190,7.0,USA
191,10.0,USA
192,13.0,China
193,14.0,China
194,13.0,USA
195,15.0,Greece
196,12.0,China
197,14.0,China
198,7.0,India
199,10.0,Switzerland
200,10.0,Italy
201,12.0,Saudi Arabia
202,10.0,South Korea
203,13.0,China
204,13.0,China
205,10.0,Saudi Arabia
206,8.0,China
207,13.0,China
208,10.0,China
209,14.0,China
210,18.0,Argentina
211,18.0,China
212,13.0,China
213,7.0,Argentina
214,11.0,Germany
215,13.0,Switzerland
216,14.0,Italy
217,18.0,USA
218,18.0,China
219,11.0,China
220,17.0,Saudi Arabia
221,10.0,China
222,10.0,India
223,21.0,India
224,17.0,China
225,15.0,China
226,13.0,Saudi Arabia
227,10.0,China
228,9.0,China
229,11.0,China
230,15.0,China
231,8.0,USA
232,13.0,USA
233,12.0,USA
234,15.0,India
235,11.0,India
236,14.0,India
237,12.0,India
238,7.0,India
239,7.0,China
240,13.0,China
241,15.0,China
242,15.0,China
243,14.0,China
244,15.0,China
245,7.0,USA
246,13.0,China
247,5.0,USA
248,7.0,USA
249,11.0,China
250,13.0,USA
251,9.0,China
252,16.0,USA
253,16.0,Bangladesh
254,15.0,China
255,16.0,India
256,8.0,China
257,14.0,India
258,18.0,India
259,11.0,India
260,7.0,China
261,12.0,China
262,13.0,Brazil
263,16.0,China
264,11.0,USA
265,13.0,USA
266,21.0,Saudi Arabia
267,20.0,USA
268,9.0,USA
269,14.0,USA
270,9.0,India
271,13.0,China
272,13.0,Canada
273,9.0,India
274,11.0,India
275,16.0,China
276,16.0,USA
277,9.0,China
278,12.0,USA
279,11.0,USA
280,11.0,India
281,15.0,USA
282,10.0,India
283,11.0,India
284,8.0,China
285,10.0,Saudi Arabia
286,6.0,Saudi Arabia
287,12.0,Sweden
288,14.0,Germany
289,11.0,China
290,8.0,USA
291,14.0,Saudi Arabia
292,19.0,USA
293,12.0,USA
294,16.0,USA
295,13.0,Pakistan
296,14.0,USA
297,11.0,China
298,11.0,Thailand
299,12.0,China
300,9.0,India
301,21.0,China
302,13.0,Bangladesh
303,8.0,China
304,10.0,China
305,16.0,Taiwan
306,16.0,China
307,10.0,China
308,16.0,China
309,22.0,USA
310,13.0,China
311,13.0,China
312,15.0,Bangladesh
313,16.0,China
314,11.0,China
315,16.0,China
316,12.0,United Arab Emirates
317,12.0,China
318,15.0,China
319,12.0,China
320,13.0,China
321,17.0,China
322,19.0,China
323,19.0,Bangladesh
324,12.0,China
325,12.0,China
326,13.0,China
327,12.0,China
328,15.0,China
329,15.0,China
330,11.0,China
331,20.0,Bangladesh
332,19.0,China
333,15.0,China
334,13.0,China
335,9.0,China
336,10.0,Indonesia
337,10.0,China
338,12.0,China
339,13.0,China
340,15.0,China
341,14.0,China
342,13.0,China
343,13.0,China
344,12.0,China
345,18.0,China
346,16.0,China
347,17.0,China
348,12.0,China
349,6.0,China
350,11.0,China
351,12.0,China
352,15.0,China
353,11.0,China
354,16.0,China
355,14.0,China
356,11.0,China
357,12.0,China
358,21.0,China
359,12.0,China
360,17.0,China
361,13.0,China
362,12.0,Pakistan
363,18.0,China
364,17.0,China
365,20.0,China
366,12.0,Japan
367,14.0,China
368,6.0,China
369,20.0,Australia
370,14.0,China
371,9.0,China
372,13.0,China
373,20.0,India
374,12.0,South Korea
375,12.0,China
376,17.0,Saudi Arabia
377,12.0,China
378,12.0,Australia
379,12.0,China
380,14.0,China
381,10.0,China
382,9.0,China
383,11.0,China
384,16.0,China
385,15.0,China
386,13.0,China
387,10.0,China
388,11.0,China
389,25.0,China
390,10.0,China
391,10.0,USA
392,13.0,China
393,12.0,USA
394,17.0,China
395,12.0,Pakistan
396,15.0,Inconnu
397,15.0,China
398,13.0,China
399,14.0,Germany
400,19.0,China
401,14.0,India
402,12.0,China
403,13.0,China
404,17.0,China
405,13.0,China
406,16.0,China
407,12.0,China
408,13.0,China
409,16.0,China
410,13.0,China
411,17.0,China
412,11.0,USA
413,15.0,China
414,14.0,China
415,9.0,Pakistan
416,16.0,China
417,14.0,Finland
418,14.0,China
419,12.0,China
420,8.0,China
421,8.0,USA
422,11.0,China
423,13.0,China
424,6.0,Egypt
425,20.0,China
426,12.0,China
427,8.0,China
428,12.0,Inconnu
429,13.0,Saudi Arabia
430,14.0,China
431,6.0,Finland
432,11.0,China
433,17.0,Saudi Arabia
434,12.0,China
435,10.0,China
436,18.0,China
437,17.0,China
438,19.0,China
439,11.0,China
440,7.0,Saudi Arabia
441,11.0,China
442,12.0,China
443,21.0,Finland
444,15.0,China
