article_id,cluster
1,47
2,38
3,33
4,24
5,43
6,2
7,45
8,42
9,16
10,22
11,29
12,2
13,24
14,43
15,48
16,47
17,8
18,43
19,16
20,22
21,12
22,12
23,34
24,8
25,9
26,47
27,22
28,47
29,26
30,18
31,41
32,8
33,33
34,48
35,8
36,16
37,35
38,43
39,16
40,35
41,42
42,8
43,42
44,2
45,42
46,18
47,35
48,16
49,2
50,42
51,12
52,12
53,25
54,42
55,33
56,45
57,12
58,24
59,35
60,35
61,2
62,12
63,8
64,35
65,35
66,47
67,16
68,2
69,42
70,35
71,16
72,43
73,33
74,16
75,20
76,35
77,22
78,42
79,35
80,33
81,8
82,8
83,42
84,20
85,16
86,8
87,24
88,42
89,12
90,2
91,2
92,33
93,5
94,16
95,33
96,42
97,16
98,2
99,45
100,35
101,5
102,8
103,45
104,42
105,19
106,35
107,16
108,16
109,16
110,3
111,18
112,22
113,15
114,42
115,35
116,12
117,42
118,18
119,26
120,48
121,16
122,42
123,33
124,25
125,8
126,2
127,42
128,16
129,8
130,43
131,12
132,33
133,43
134,43
135,42
136,11
137,12
138,35
139,2
140,16
141,42
142,25
143,22
144,12
145,16
146,8
147,20
148,33
149,43
150,43
151,2
152,2
153,35
154,43
155,2
156,8
157,48
158,43
159,16
160,42
161,12
162,24
163,43
164,42
165,8
166,2
167,8
168,12
169,45
170,20
171,12
172,45
173,47
174,24
175,35
176,42
177,25
178,35
179,12
180,12
181,45
182,8
183,43
184,43
185,16
186,35
187,42
188,8
189,47
190,22
191,35
192,42
193,2
194,42
195,43
196,16
197,2
198,22
199,35
200,35
201,48
202,5
203,42
204,15
205,35
206,38
207,42
208,35
209,2
210,24
211,24
212,15
213,22
214,8
215,42
216,2
217,24
218,24
219,25
220,12
221,35
222,35
223,45
224,12
225,43
226,42
227,35
228,26
229,25
230,43
231,18
232,42
233,16
234,20
235,8
236,2
237,48
238,4
239,4
240,42
241,43
242,43
243,2
244,43
245,22
246,42
247,37
248,22
249,8
250,42
251,33
252,12
253,12
254,43
255,12
256,38
257,2
258,24
259,8
260,22
261,16
262,42
263,12
264,8
265,42
266,45
267,45
268,33
269,2
270,21
271,15
272,42
273,33
274,8
275,12
276,12
277,33
278,16
279,8
280,8
281,20
282,35
283,25
284,18
285,35
286,34
287,16
288,2
289,8
290,47
291,2
292,3
293,16
294,12
295,42
296,2
297,8
298,8
299,48
300,33
301,45
302,42
303,18
304,35
305,12
306,12
307,35
308,12
309,45
310,42
311,42
312,43
313,12
314,25
315,12
316,48
317,48
318,20
319,16
320,42
321,12
322,3
323,3
324,48
325,48
326,42
327,16
328,20
329,43
330,8
331,45
332,3
333,43
334,15
335,33
336,5
337,28
338,16
339,42
340,43
341,2
342,42
343,42
344,48
345,24
346,12
347,12
348,48
349,13
350,25
351,48
352,43
353,25
354,12
355,2
356,25
357,16
358,45
359,48
360,12
361,42
362,16
363,24
364,12
365,45
366,16
367,2
368,34
369,45
370,2
371,33
372,42
373,45
374,48
375,48
376,12
377,16
378,48
379,48
380,2
381,35
382,0
383,8
384,12
385,43
386,15
387,35
388,8
389,11
390,5
391,5
392,42
393,16
394,12
395,48
396,43
397,20
398,42
399,2
400,3
401,2
402,16
403,42
404,12
405,42
406,12
407,16
408,42
409,12
410,42
411,12
412,8
413,43
414,2
415,33
416,12
417,2
418,2
419,48
420,38
421,18
422,25
423,42
424,17
425,45
426,48
427,47
428,16
429,42
430,2
431,17
432,8
433,12
434,48
435,35
436,24
437,12
438,3
439,8
440,4
441,8
442,16
443,45
444,20
445,24
446,8
447,20
448,48
449,12
450,2
451,8
452,24
453,12
454,47
455,25
456,5
457,35
458,11
459,16
460,22
461,42
462,8
463,18
464,3
465,3
466,48
467,20
468,8
469,12
470,12
471,20
472,33
473,45
474,42
475,2
476,48
477,12
478,16
479,12
480,16
481,2
482,8
483,5
484,24
485,15
486,42
487,22
488,33
489,47
490,15
491,34
492,12
493,8
494,2
495,25
496,43
497,45
498,42
499,12
500,26
501,45
502,8
503,42
504,16
505,24
506,2
507,22
508,12
509,48
510,43
511,8
512,43
513,43
514,16
515,8
516,12
517,25
518,21
519,12
520,45
521,25
522,33
523,12
524,43
525,43
526,12
527,25
528,12
529,16
530,2
531,48
532,48
533,2
534,48
535,47
536,22
537,25
538,16
539,47
540,19
541,12
542,16
543,15
544,42
545,16
546,48
547,2
548,5
549,35
550,16
551,15
552,16
553,35
554,28
555,2
556,8
557,18
558,33
559,18
560,12
561,35
562,2
563,35
564,8
565,25
566,33
567,12
568,24
569,3
570,3
571,15
572,8
573,22
574,11
575,35
576,47
577,16
578,42
579,2
580,16
581,5
582,12
583,33
584,42
585,25
586,48
587,8
588,16
589,48
590,2
591,42
592,25
593,45
594,48
595,11
596,25
597,3
598,24
599,8
600,25
601,47
602,45
603,11
604,11
605,25
606,18
607,43
608,12
609,15
610,2
611,26
612,33
613,16
614,5
615,2
616,35
617,3
618,33
619,18
620,33
621,21
622,5
623,16
624,25
625,43
626,22
627,5
628,16
629,37
630,25
631,42
632,3
633,20
634,25
635,35
636,12
637,22
638,8
639,22
640,43
641,5
642,2
643,16
644,5
645,12
646,42
647,8
648,42
649,25
650,24
651,28
652,33
653,48
654,48
655,8
656,6
657,8
658,48
659,42
660,18
661,35
662,20
663,5
664,12
665,24
666,33
667,42
668,8
669,11
670,42
671,45
672,8
673,18
674,15
675,42
676,2
677,46
678,2
679,42
680,43
681,8
682,48
683,43
684,33
685,33
686,30
687,15
688,12
689,20
690,48
691,48
692,47
693,43
694,24
695,48
696,12
697,48
698,35
699,35
700,5
701,35
702,47
703,8
704,18
705,3
706,48
707,25
708,5
709,2
710,12
