id,title
3881,cost-effective extension of dram-pim for group-wise llm quantization
3882,maestro: llm-driven collaborative automation of intent-based 6g networks
3883,achieving peak performance for large language models: a systematic review
3884,llm-dsk: a domain-specific semantic knowledge-guided ocean environment prediction method based on large language models
3885,"a comprehensive survey on llm-powered recommender systems: from discriminative, generative to multi-modal paradigms"
3886,conversational llm-based decision support for defect classification in afm images
3887,enhancing llm reasoning capabilities through brokered multi-expert reflection
3888,an innovative solution to design problems: applying the chain-of-thought technique to integrate llm-based agents with concept generation methods
3889,optimization of customer feedback summarization using large language models (llm) and advanced retrieval-augmented generation
3890,multilingual low-latency emergency voip system using llm for speech reconstruction and blockchain for secure data archiving
3891,an llm-driven chatbot in higher education for databases and information systems
3894,llm-based persona-driven text data augmentation
3895,llm comparator: interactive analysis of side-by-side evaluation of large language models
3896,balia benchmark for accelerated language model inference
3897,llm-driven apt detection for 6g wireless networks: a systematic review and taxonomy
3898,trip-llm: a tri-branch patch-wise large language model framework for time-series anomaly detection
3899,a framework for llm-assisted smart policing system
3900,"acom: arabic comparative opinion mining in social media utilizing word embedding, deep learning model, & llm-gpt"
3901,meme analysis using llm-based contextual information and u-net encapsulated transformer
3902,llm-based topic modeling for dark web q&a forums: a comparative analysis with traditional methods
