country,author_id
China,6219
USA,3179
India,2416
Saudi Arabia,1635
Pakistan,1480
South Korea,1469
Malaysia,1195
Germany,1161
Italy,1056
U.K.,1028
Australia,940
Spain,936
Japan,917
Canada,842
Taiwan,686
Republic of Korea,600
Egypt,599
Bangladesh,529
Brazil,480
United Arab Emirates,477
Turkey,449
Indonesia,391
Greece,339
France,327
Iran,311
Thailand,302
Türkiye,284
Finland,279
Morocco,276
Portugal,266
Norway,260
Vietnam,260
South Africa,258
Ireland,254
U.K,226
Sweden,220
Jordan,214
Qatar,202
Russia,200
The Netherlands,192
Poland,187
Singapore,178
Belgium,177
Switzerland,169
Iraq,166
Mexico,159
Austria,150
Hungary,138
Algeria,133
Romania,131
Czech Republic,130
UAE,117
Israel,114
Colombia,114
Tunisia,109
Chile,104
Hong Kong,103
Denmark,95
Lebanon,91
New Zealand,87
Nigeria,86
Ecuador,81
Kazakhstan,81
Kuwait,75
Peru,68
Yemen,64
Oman,57
Slovenia,56
UK,53
Slovakia,52
Luxembourg,51
Korea,50
Sri Lanka,45
CN,44
Uganda,44
Cyprus,43
Nepal,42
Ethiopia,40
Bulgaria,39
Argentina,35
Croatia,35
Estonia,32
Philippines,29
US,26
Netherlands,24
México,24
North Macedonia,22
Palestine,21
Ghana,21
Lithuania,18
Rwanda,17
Uzbekistan,17
KR,17
Macau,16
Panama,15
United Kingdom,15
Serbia,14
Cameroon,14
Bahrain,13
Czechia,13
Sudan,12
P. R. China,12
ES,11
Kenya,11
Syria,11
Brunei,10
Armenia,10
GB,10
Botswana,10
Guatemala,9
Angola,9
Google Research,9
Brunei Darussalam,9
MY,9
Tanzania,8
MX,8
ICPCSEE Steering Committee,8
Chonnam National University,7
SAR,7
Libya,7
Trinidad and Tobago,7
Democratic Republic of the Congo,7
Hunan Provincial Key Laboratory of Image Measurement and Vision Navigation,7
BR,7
Kingdom of Saudi Arabia,6
Cuba,6
IN,6
Russian Federation,6
MSIT graduate from Carnegie Mellon University Africa and is currently working as big data scientist at the National Bank of Rwanda.,6
Abu Dhabi,6
Costa Rica,6
Bosnia and Herzegovina,6
Haryana,5
United States,5
Malta,5
Mongolia,5
Brasil,5
University of Rwanda; Alumnus of Carnegie Mellon University and currently pursuing a dual PhD in Data Science at ACE-DS and Internet of Things at ACEIoT,5
SA,5
Fiji,4
CA,4
Djibouti,4
España,4
Gabon,4
AU,4
UCB Pharma SA,4
Ukraine,4
Kosovo,4
NO,4
Iceland,4
Japan. Tel:/Fax: +81-92-642-6719; arimurah@med.kyushu-u.ac.jp,4
TW,4
Republic of Ireland,4
Afghanistan,3
IR,3
Physikalisch-Technische Bundesanstalt,3
Somalia,3
Nanjing,3
People's Republic of China,3
Azerbaijan,3
Dominican Republic,3
Google Brain,3
Cambodia,3
Comoros,3
Barcelona,3
Computer and Communication Engineering for Capacity Building Research Center,2
Amtali,2
U.K. (Deceased),2
EC,2
Rwanda.,2
Multimedia University,2
P.M.B 046,2
IE,2
Latvia,2
People's Republic of China (PRC),2
Sultanate of Oman,2
UK; michael.walmsley@manchester.ac.uk,2
Malawi,2
Myanmar,2
Dominica,1
Germany; agsiddhant@gmail.com,1
Belarus,1
Algérie,1
Albania,1
DE,1
Gaza,1
Perú,1
Maldives,1
Oatar,1
KSA,1
India;,1
Kyrgyzstan,1
NY,1
Rme-412115. India,1
Saarbrücken,1
Togo,1
University of Rwanda; ACE-DS,1
Uruguay,1
University of Rwanda; Machine learning and big data at Carnegie Mellon University and Oxford University,1
Venezuela,1
the Netherlands,1
