lab_name,country,nb_authors
"Electrical and Computer Engineering Graduate Program, Universidade Federal do Ceara, Sobral, Brazil",Brazil,28
"College of Computer Science, Sichuan University, Chengdu, China",China,28
"Department of Computer Science and Technology, Dalian University of Technology, Dalian, China",China,24
"Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar",Qatar,24
"University of Chinese Academy of Sciences, Beijing, China",China,22
"Department of Actuarial Science and Applied Statistics, Faculty of Business and Information Science, UCSI University, Kuala Lumpur, Malaysia",Malaysia,22
"Institute of Computer Science, University of Osnabrueck, Osnabrück, Germany",Germany,21
"School of Electrical and Computer Engineering, Ben-Gurion University of the Negev, Beer-Sheva, Israel",Israel,21
"Department of Computer Science, University of Tübingen, Tübingen, Germany",Germany,20
"College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China",China,20
"Department of Software Engineering, University of Engineering and Technology, Taxila, Pakistan",Pakistan,20
"Department of Computing, The Hong Kong Polytechnic University, Hong Kong",Hong Kong,20
"Department of Computer Science, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands",The Netherlands,19
"Center for Computational Engineering and Networking, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India",India,19
"Department of Computer Science and Engineering, RV College of Engineering, Bengaluru, India",India,19
"Department of Computer Information Systems, Jordan University of Science and Technology, Irbid, Jordan",Jordan,19
"Department of Informatics and Telematics, Harokopio University, Athens, Greece",Greece,18
"School of Electrical and Information Engineering, University of the Witwatersrand, Johannesburg, South Africa",South Africa,18
